id,cc_cons
6975,2394.7885091866424
43223,10756.729447842026
45502,1765.1258592339038
12368,2143.687169461217
40415,6079.397152238483
31659,3584.049250628135
19585,2209.6044938409104
11889,2191.235006113656
43494,2554.251739636177
2536,1733.8026722382397
16896,2264.979118879269
23422,4002.4781978966957
31074,3542.7369792662507
32409,5590.964099942585
29846,1092.3365800984495
4046,5447.4561354354055
41350,1167.6891249676487
24530,2244.366117037467
20128,1866.4533183182425
25389,4398.014859734229
8913,15361.106652877972
41126,2019.4256219634492
19678,4553.594670018416
1907,3004.899553186459
22003,3984.164656424299
1177,1485.4975361882682
13941,2334.4695098336556
19473,2407.7920487564597
42500,2407.8305282168326
3878,2497.2797989748733
8973,3081.8568532712948
9938,3105.6711674201724
38581,1269.9962031262003
41728,2707.298807762959
42180,1924.2838652410899
23022,1767.052343057537
29322,3416.114534656668
38371,3843.5912576631636
14582,6546.350740573753
37012,1905.2856073144753
7993,3541.2498900194632
32720,2321.5742786078695
46172,9295.716110945283
2646,8888.08193653046
12238,4257.793932449424
17793,3501.8497246112192
1661,3379.0331538042897
30028,1630.8083249678057
38142,2514.171347668146
21187,1155.5190119844087
32066,2056.32525205705
39689,3572.272780141596
44715,6263.15177393646
766,1798.5446193226817
38216,2521.3892728202513
10622,7800.322775702873
42913,5189.522049687917
18904,3709.3773783159263
19555,1323.9392638832846
24285,2839.9531344821785
13852,3558.9794397731525
22599,17687.77092362861
18045,2394.2975343315875
33600,1741.9692048723932
18103,11187.095580216077
7314,6178.916189926635
26516,6914.313406341854
46770,1482.7343908260516
9126,3524.9236656471408
46819,3323.53760213219
10517,2392.9443425937807
45647,2044.0845106752674
26740,2678.853798189343
42782,1812.2272057798732
12493,2085.9954281041582
27311,3396.119526430341
11428,2134.6482423126336
24193,4705.604001875456
22723,2048.6218514642555
14362,2202.1903868622544
17572,7321.487916488468
26477,21464.86877680551
21283,2328.4030067011813
7599,2636.1109336077475
33989,2306.345602371161
14945,1399.272033016861
18531,2840.0687423296067
34513,3017.3551954281616
12426,2361.9442793120706
41416,2162.9457922506704
31245,3421.7017289528408
980,2125.9611743935916
7462,1687.2853275035773
26616,3573.248854644734
1197,14080.165181496053
11644,9766.288382690558
8146,2510.3438335337405
29429,1373.6777519822144
24599,1544.8071963304935
30209,946.5195800537163
11455,3386.519474667204
27200,1427.318708512673
2399,2306.6591105755924
45233,3599.542236272636
10849,1548.6430675820434
115,1903.3324776660243
31237,1580.6539275502432
21669,3502.9906487993385
9174,2859.848905280347
27083,1402.254848548821
7213,6079.201991032491
28851,3582.569248872948
42749,3865.8546335414094
16742,3199.087268530206
35267,3406.2722802553008
43984,2046.0269079545305
7010,9008.830661042188
14426,1338.1914916460498
19816,2554.0524013875074
39466,1846.1361821028859
18829,2766.0967603294575
14473,4697.661232184863
46767,5525.814299417478
45144,2060.1967383145766
44345,26983.898490393047
11714,3425.7709665537145
13403,2641.7233120594465
31814,2112.7916101341875
43508,4417.8963377478
23906,2987.88558015529
2811,2638.8476104262454
40103,7299.06887874969
18600,4687.273680727148
4014,4468.895336884602
13951,3426.702504824937
15102,2135.7982816562103
32381,8321.975775326087
3813,8991.860097530323
28707,4599.798304630787
349,3399.4367855708074
12470,3236.31736815476
19094,3274.6779642691927
7929,10210.917216483933
46048,3688.639397494892
17261,7682.586180177086
46725,6894.975022286937
43947,5348.3990883844
17002,3500.2059878301193
17779,2703.9683081156477
42113,3211.853377813231
35665,1243.4767920804602
18909,1825.105318231808
20179,1819.2791439878827
11405,4388.430992877087
33245,2555.3823547688944
18703,1969.928860038367
27819,2282.973101213119
45040,6856.981585243674
43672,3129.0156043007155
7487,4629.082655228301
23293,3707.558926451501
9722,4150.232937887514
19191,3716.1980233491868
33640,1537.233649282637
15760,1331.0013130185116
3239,1528.4787469498667
7870,3125.4987796147907
6688,2015.8090752887294
43489,2679.9246082095838
44820,4257.96919243822
39063,2927.8444767362244
2786,1761.7192726460612
32090,2812.3451905071265
29498,11306.343883811674
9932,9176.446123696982
1603,4294.038307922504
16911,1745.3176334978557
42880,1827.450254064845
35345,2474.2628520693024
5669,3421.7331233649393
540,2994.508710883286
15257,4741.713006279351
46065,1471.6512028436364
35233,3038.1564469902605
39124,1924.0363201771115
3078,1699.1353054268623
11166,1472.2874332414308
23888,3786.2910319161088
1764,959.1934668353719
32624,2127.9912274390526
40688,1968.178911600227
43431,2897.8949197076677
36001,2300.3493401640476
46485,2765.5560433593037
22511,1764.3155700605362
43122,1700.775652887635
26286,2957.0876214569457
42183,2294.42383857466
38290,2327.8736182101284
19009,2020.1559996203566
16891,1590.8622815400745
40752,3101.210267518862
24661,3277.6570848341544
35672,2120.7663879742727
26540,4399.379703456861
46267,2353.819353964615
6241,1329.2505581824428
9430,2773.32653154645
9346,1692.807924318797
14187,2653.851186473898
43717,1311.8942871341023
33800,3173.756598184789
13659,1287.4766231328078
34065,1586.98691636567
20311,1280.8338651520924
14862,12120.27464893518
32534,1786.345278726209
45483,1962.896609613207
17060,2082.671786775907
22610,1510.676986054422
5730,10394.923355202382
11618,3386.140788672423
32612,2533.1152321732525
37501,4140.685610368141
20402,4984.385337344511
25172,6728.501705645477
29751,4023.8570482709824
28110,4291.967938554872
9414,1119.9442407436647
36448,3186.3841719922225
43249,1581.6706655971363
27037,3283.6394511022468
45457,1439.4653948713712
2730,3168.243814183294
15069,7803.923070538511
37020,3169.3931228365095
11641,5554.266027021497
21182,6212.580366540384
40538,1468.69419906598
37459,3311.0621861225873
38762,1805.3850652733904
36698,1716.4336980476905
44287,5732.401447295505
748,1746.8661021335943
8029,4684.549095243593
18867,2543.8077511288498
6783,1657.903815529635
18325,4757.211993986118
40462,3350.7211602148777
13380,1681.3398015592497
33060,4005.3474306417374
37739,1632.7507694097167
39637,6211.5233129213175
36528,3276.09895937684
37258,1210.1581189916435
6826,11966.04559451085
25874,1397.202709050785
34733,2013.2679274751642
585,1962.9346465811923
11908,3064.287645896611
25725,1564.7837207888922
11540,4027.889323404706
46396,2276.8527087565394
28322,3375.3187184796934
18382,5029.852300641728
9507,8391.062536820538
10942,1735.9650643960613
31220,1715.9517674634149
1190,1562.3541924848178
13723,2410.9326949081596
28899,2120.1111916047935
44063,5324.895094237488
35700,2246.2550631001577
24170,2158.3186328025117
1609,4474.435747981388
17549,3347.6207062622957
46749,2597.7352678726556
33920,1577.8447313032289
36734,1547.322064122382
45250,1583.3267663619954
30114,1937.635295102158
36979,5908.6279146314055
36199,4520.349509005764
15539,3671.11724297477
6082,3918.4821686857213
15586,3245.7504082532123
17325,1858.076788067814
32459,7944.1035591792215
8808,5192.745890065251
32429,2734.8330577921306
26739,4431.866024529694
32641,1744.2607319165759
12104,6089.366747619679
5986,6910.661536029974
39650,6248.186002010058
40848,2816.9919462625344
12472,1405.806811867381
20762,3752.1986677453474
39422,1547.157787045388
14822,3284.510825107612
37142,2145.944617006025
3205,7240.547706779218
21640,4374.189344148385
2234,1365.2482608764294
23606,3263.621215553482
17423,2731.8728597629224
40828,3948.2267249441757
33985,2154.7549067516447
45721,1211.7041405495017
40436,2662.989770468543
15813,2561.980309688925
14092,5441.368046740432
30509,6976.082039016797
34050,2204.0216287411663
21741,3801.715956284076
36527,2426.034487102609
8854,4324.215106256604
10859,9526.918538999695
706,1630.3786309426198
43976,3052.0605034212863
43978,4691.451693312981
7322,10878.459564518718
28071,1638.3924812191055
12528,2124.7509288045244
26871,2060.920028370052
24476,1519.4478926552335
422,3247.625199201094
30157,7746.090023895656
14281,1960.377007988499
42520,3637.3009534522866
3625,3228.966217244182
33366,3094.2531930441546
34675,7086.232732780798
39319,5080.730267683906
46573,3049.1049892360643
44389,2377.5326551785793
41395,3770.1935500947407
3809,1329.1725989818895
18331,2585.4360586912117
30478,2359.294611623477
14623,1313.6240767888169
18825,3416.8106478845734
16354,6590.099911279011
22670,2054.1570476444554
8387,6439.661982260898
36491,1045.5991349873086
42008,1916.5978963633702
10573,2383.8945041509674
20914,2393.471383126636
20255,2317.6940254060223
26022,1903.780165212055
46674,3554.133959302181
6023,2704.375192546245
17266,5951.117030641943
19131,2530.325262711165
31503,11207.252559325549
1337,3994.1723283712413
21281,2876.759699936587
32933,2295.9850011232193
4650,2391.19716593566
28357,8160.606652385864
32764,1496.8757360563636
46028,3776.6163306458
1228,3558.679451563948
34211,7204.768349777594
35195,3920.6814805998492
19995,3156.1373086748067
15691,3350.4969179949353
33450,4064.314187572579
45389,3346.76455192765
35560,3794.710385176093
46012,2490.697160915946
13108,6573.240167225129
26849,7373.142865976202
13047,1441.1986673676374
33233,2593.8406852770686
46211,3929.366422957967
6624,1708.186240181379
36355,2838.2434758883924
36856,2026.201251690086
33234,6129.311468149192
31069,2651.1211287902156
26844,5463.25716500341
23253,6060.15121650821
44965,3417.209088315967
13042,2587.038552168234
9988,1498.4006221315283
22827,2080.5038827558633
2521,6917.770194488925
17211,2942.117683283766
16912,6283.761257260322
29291,6621.703195668289
38895,3015.225444614056
45744,18775.4452417722
42705,6749.636020122962
1427,1580.439427153659
32682,2102.021039793434
4771,3228.980710355816
46180,5516.982729830556
26801,6574.660533904753
39359,1757.1554829221745
33709,5895.223176718197
12042,1789.3081406868048
22838,5332.937146449475
7529,2537.2406558405705
13296,5090.425396260721
35618,1908.6355264613273
10447,8091.569827914388
10,2627.9045598615385
45014,4007.2122406283215
25003,2494.2554868670263
16307,1815.910542038949
17853,2334.427840433311
7595,2069.906070655163
3520,1532.9509458740154
44558,3274.193173426876
46301,2411.74208934212
22510,2444.331489478956
40911,1323.4914100984977
42100,3579.789067311407
2569,4151.691485502838
7915,5305.732546259552
32458,3884.90084125457
23350,1847.3129889338509
24797,1804.5037807227072
46443,4232.360065147461
26812,2682.3144847846766
9726,1757.4284013430442
3859,2384.3449826787573
36311,3461.155895631464
4975,2594.4087826071395
5500,3301.9751159124803
21488,6225.677383499205
27669,6803.478051163902
1266,4091.03597551381
27620,5426.223903398956
6722,2768.554724291987
40624,3048.1175606291677
32921,5380.187675058637
8472,1823.2631129952824
40638,2535.570372140536
4869,7661.42858475701
14659,2126.449003406361
24888,2536.061931815354
44115,2304.9384440720137
10689,2157.4751757323165
39086,3849.374007528234
16735,3086.4976273806283
23117,2874.3915306252056
45868,2652.3840887590613
9305,5601.9626877440905
32812,1520.7856304932461
39541,721.4687818091573
16297,2376.207313509109
2041,6542.0909157083215
45561,3046.3904452900856
992,1841.6892049218686
12797,1286.0647011453696
22251,5725.6073616617105
44026,2346.4779987635666
32438,2082.9580173354543
24423,2360.914834285242
39098,2285.8945907667894
42837,2228.849948988053
7900,1701.5331228627638
